epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,815.276,0.51243,0.62537,0.31769,0.86379,0.9841,0.97995,0.99335,0.88784,0.98299,0.97884,0.99164,0.84859,0.47297,0.62574,0.27183,0.83647,0.000709809,0.000709809,0.000709809
31,843.252,0.47905,0.60024,0.289,0.84861,0.98371,0.98092,0.99296,0.87996,0.98371,0.98092,0.99296,0.83454,0.49125,0.63568,0.29086,0.84551,0.000676802,0.000676802,0.000676802
32,869.434,0.48474,0.60089,0.28874,0.84847,0.98625,0.97982,0.99311,0.88919,0.98516,0.97829,0.99307,0.84534,0.47833,0.62774,0.28071,0.841,0.000643795,0.000643795,0.000643795
33,895.323,0.47398,0.58918,0.27975,0.84895,0.98606,0.98471,0.99333,0.8857,0.98551,0.98416,0.9933,0.8516,0.47663,0.63365,0.27561,0.84106,0.000610789,0.000610789,0.000610789
34,921.296,0.47395,0.58692,0.27958,0.84677,0.98633,0.98246,0.99301,0.88504,0.98577,0.9819,0.99282,0.85489,0.48552,0.64756,0.27437,0.84171,0.000577782,0.000577782,0.000577782
35,947.337,0.46282,0.58122,0.27025,0.84229,0.98616,0.98305,0.99353,0.8915,0.98616,0.98305,0.99353,0.85927,0.47329,0.61891,0.27433,0.83809,0.000544776,0.000544776,0.000544776
36,973.471,0.4595,0.5837,0.26586,0.84093,0.98889,0.98484,0.9934,0.88913,0.98889,0.98484,0.9934,0.86824,0.48399,0.62333,0.2662,0.84017,0.000511769,0.000511769,0.000511769
37,999.557,0.46851,0.57578,0.27461,0.84685,0.98689,0.98228,0.99302,0.88983,0.98724,0.97986,0.99288,0.85437,0.47318,0.62407,0.2654,0.83834,0.000478762,0.000478762,0.000478762
38,1025.88,0.45471,0.57134,0.26389,0.8375,0.984,0.98815,0.99356,0.89621,0.984,0.98815,0.99356,0.85957,0.47022,0.61652,0.26267,0.83832,0.000445756,0.000445756,0.000445756
39,1051.9,0.44712,0.55351,0.25655,0.8361,0.98554,0.98248,0.99301,0.89509,0.98554,0.98248,0.99301,0.85681,0.45888,0.61744,0.25332,0.83459,0.000412749,0.000412749,0.000412749
40,1077.93,0.43938,0.56758,0.25297,0.83259,0.98856,0.97981,0.99301,0.8971,0.98856,0.97981,0.99301,0.86467,0.46795,0.61905,0.25774,0.83789,0.000379743,0.000379743,0.000379743
41,1104.21,0.4433,0.55483,0.25188,0.84012,0.98476,0.98704,0.99332,0.89988,0.98476,0.98704,0.99332,0.86373,0.46112,0.60662,0.24886,0.83315,0.000346736,0.000346736,0.000346736
42,1130.15,0.43368,0.55088,0.24211,0.82935,0.98642,0.98483,0.9932,0.89993,0.98642,0.98483,0.9932,0.85899,0.45665,0.61373,0.24681,0.83474,0.000313729,0.000313729,0.000313729
43,1156.14,0.42775,0.54988,0.24169,0.8287,0.98988,0.98539,0.99335,0.90457,0.98988,0.98539,0.99335,0.86687,0.4511,0.59937,0.23992,0.82928,0.000280723,0.000280723,0.000280723
44,1182.02,0.42211,0.54142,0.23563,0.82767,0.98606,0.98704,0.99366,0.90618,0.9855,0.98649,0.99363,0.87021,0.44396,0.59595,0.23863,0.82946,0.000247716,0.000247716,0.000247716
45,1208.02,0.41956,0.53682,0.23399,0.82531,0.98997,0.98649,0.99381,0.9025,0.98941,0.98593,0.99371,0.86453,0.44574,0.61163,0.23735,0.82817,0.00021471,0.00021471,0.00021471
46,1234,0.41536,0.53217,0.22808,0.82195,0.98433,0.98748,0.99355,0.9043,0.98378,0.98693,0.99353,0.86206,0.4446,0.6061,0.23293,0.82987,0.000181703,0.000181703,0.000181703
47,1259.92,0.40915,0.52447,0.22449,0.82488,0.9887,0.98572,0.99383,0.90649,0.9887,0.98572,0.99383,0.86656,0.44217,0.60714,0.22814,0.82915,0.000148696,0.000148696,0.000148696
48,1285.93,0.40423,0.50862,0.22078,0.82172,0.98856,0.9829,0.99366,0.90873,0.988,0.98235,0.99355,0.86769,0.44065,0.61252,0.22627,0.82853,0.00011569,0.00011569,0.00011569
49,1311.81,0.40186,0.51673,0.21777,0.82104,0.98833,0.98527,0.99385,0.90555,0.98833,0.98527,0.99385,0.8704,0.43754,0.59887,0.22416,0.8261,8.26832e-05,8.26832e-05,8.26832e-05
50,1337.92,0.39672,0.51355,0.2147,0.81571,0.98722,0.98693,0.99395,0.9085,0.98667,0.98637,0.99388,0.86786,0.43675,0.60079,0.22114,0.82663,4.96766e-05,4.96766e-05,4.96766e-05
